Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
EFASPLMDR,K33,Evt - Improvement,Fixed Assets,KPL,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
SLOTMH,SLH,Lot modification header,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , PIMPL  (  ) , ITMMASTER  (Products  )",,VCRNUM(Entry) +   ,VCRNUM(Entry) +   
EFASREEVAL,E28,Evt - revaluation,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
SMVTH,SMH,Movement header,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  )",__||__,VCRTYP(Entry type) +   VCRNUM(Entry) +   __||__ VCRTYP(Entry type) +   IPTDAT(Allocation date) +   VCRNUM(Entry) +   ,VCRTYP(Entry type) +   VCRNUM(Entry) +    __||__   VCRTYP(Entry type) +   IPTDAT(Allocation date) +   VCRNUM(Entry) +   
EFASRNW,E31,Evt- renewal,Fixed Assets,CCN,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASRNWCNL,E35,Evt - asset deletion,Fixed Assets,CCN,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
STOJOU,STJ,Stock journal,Stock,,"Manufacturing,Purchasing,Sales,Stock","Manufacturing Tracking,Purchase Receipts,Purchase Returns,Sales Deliveries,Sales Invoice,Sales Returns,Stock","ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , AREPORT  (Report dictionary  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GTYPACCENT  (Document types  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , LPN  (  )",__||__STOFCY(Storage site) +   VCRTYP(Entry type) +   VCRNUM(Entry) +   VCRLIN(Entry line no.) +   __||__UPDCOD(Update) +   ITMREF-IPTDAT +   MVTSEQ(Sequence) +   MVTIND(Index) +   __||__UPDCOD-CREDAT-CRETIM +   ITMREF(Product) +   __||__ITMREF(Product) +   IPTDAT(Allocation date) +   CREMVTDAT(Date created) +   CREMVTTIM(Time) +   CREMVTSEQ(Source sequence) +   ,STOFCY(Storage site) +   UPDCOD(Update) +   ITMREF-IPTDAT +   MVTSEQ(Sequence) +   MVTIND(Index) +   __||__ __||__ __||__ __||__ ,STOFCY(Storage site) +   UPDCOD(Update) +   ITMREF-IPTDAT +   MVTSEQ(Sequence) +   MVTIND(Index) +    __||__   STOFCY(Storage site) +   VCRTYP(Entry type) +   VCRNUM(Entry) +   VCRLIN(Entry line no.) +    __||__   UPDCOD(Update) +   ITMREF-IPTDAT +   MVTSEQ(Sequence) +   MVTIND(Index) +    __||__   UPDCOD-CREDAT-CRETIM +   ITMREF(Product) +    __||__   ITMREF(Product) +   IPTDAT(Allocation date) +   CREMVTDAT(Date created) +   CREMVTTIM(Time) +   CREMVTSEQ(Source sequence) +   
EFASRUCRT,K24,Evt - asset creation,Fixed Assets,KRU,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASRURST,K32,Evt - restart depreciation,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
STOPREH,PRH,Pick ticket header,Stock,,Sales,"Normal Sales Orders,Sales Deliveries","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , BPCARRIER  (Carriers  ) , BPDLVCUST  (Ship-to customer  ) , TABSDHTYP  (Table types deliveries  )",__||____||____||__,PRHNUM(Pick ticket) +   __||__ STOFCY(Storage site) +   DLVFLG(Status) +   PRHNUM(Pick ticket) +   __||__ STOFCY(Storage site) +   PRLNUM(List no.) +   DLVFLG(Status) +   PRHNUM(Pick ticket) +   __||__ SDHNUM(Delivery no.) +   PRHNUM(Pick ticket) +   ,PRHNUM(Pick ticket) +    __||__   STOFCY(Storage site) +   DLVFLG(Status) +   PRHNUM(Pick ticket) +    __||__   STOFCY(Storage site) +   PRLNUM(List no.) +   DLVFLG(Status) +   PRHNUM(Pick ticket) +    __||__   SDHNUM(Delivery no.) +   PRHNUM(Pick ticket) +   
EFASRUSTP,K31,Evt - stop depreciation,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EFASVATREG,E29,Evt - adjust. asset sales tax,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
STOQLYH,QLH,Quality control header,Stock,,Stock,Stock,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , QLYCRD  (Technical sheets  )",__||____||____||__VCRTYPORI(Source document type) +   VCRNUMORI(Original document) +   ITMREF(Product) +   ,VCRTYP(Entry type) +   VCRNUM(Analysis request) +   __||__ STOFCY(Storage site) +   ITMREF(Product) +   VCRNUM(Analysis request) +   __||__ VALFLG(Validation flag) +   VCRTYP(Entry type) +   VCRNUM(Analysis request) +   __||__ ,VCRTYP(Entry type) +   VCRNUM(Analysis request) +    __||__   STOFCY(Storage site) +   ITMREF(Product) +   VCRNUM(Analysis request) +    __||__   VALFLG(Validation flag) +   VCRTYP(Entry type) +   VCRNUM(Analysis request) +    __||__   VCRTYPORI(Source document type) +   VCRNUMORI(Original document) +   ITMREF(Product) +   
EGRTCASH,E61,Evt - subsidy transfer,Fixed Assets,GRT,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EGRTCNL,E64,Evt - Subsidy deletion,Fixed Assets,GRT,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
STOVALCUM,SVC,Valuated stock totals report,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  )",,PRONUM(Process number) +   STOFCY(Storage site) +   TCLCOD(Category) +   TSINUM() +   TSICOD(Statistical group) +   BUY(Buyer) +   ,PRONUM(Process number) +   STOFCY(Storage site) +   TCLCOD(Category) +   TSINUM() +   TSICOD(Statistical group) +   BUY(Buyer) +   
EGRTCRB,E63,Evt- subsidy reintegration,Fixed Assets,GRT,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EGRTCRT,E62,Evt - subsidy creation,Fixed Assets,GRT,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
ELEAACTU,E41,Evt - contract actualization,Fixed Assets,LEA,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
ELEACNL,E47,Evt - contract deletion,Fixed Assets,LEA,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
HANDLING,HSH,Stock process instruction,Manufacturing,MWM,,,"ATABDIV  (Miscellaneous tables  ) , SENTENCES  (Safety risk sentences  )",,HSH(SHI record) +   ,HSH(SHI record) +   
ELEACRT,E42,Evt - contract creation,Fixed Assets,LEA,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
ELEAEND,E43,Evt - end of contract,Fixed Assets,LEA,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
MFGHEADTRK,MTK,Manufacture tracking - header,Manufacturing,,Manufacturing,Manufacturing Tracking,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , GAUTACE  (Automatic journals  )",__||____||__PTHNUM(Receipt no.) +   PTDLIN(Line) +   ,MFGTRKNUM(Tracking number) +   __||__ MFGNUM(Order no.) +   MFGTRKNUM(Tracking number) +   __||__ ,MFGTRKNUM(Tracking number) +    __||__   MFGNUM(Order no.) +   MFGTRKNUM(Tracking number) +    __||__   PTHNUM(Receipt no.) +   PTDLIN(Line) +   
ELEAPAY,E44,Evt - contract fee,Fixed Assets,LEA,,,,__||____||__CPTFLG +   DPRPLN +   FSTMTHDAT +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   FSTMTHDAT +   CPY +   FCY +   REF +   
ELEARPU,E45,Evt - purchase option exercise,Fixed Assets,LEA,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
MFGITM,MFI,Work orders - products,Manufacturing,,"Manufacturing,Sales","Manufacturing Orders,Manufacturing Tracking,Production Cost Calculation,Normal Sales Orders,Sales Deliveries","ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  ) , ITMCATEG  (Product category  )",__||__MFGFCY(Production site) +   STRDAT(Start date) +   __||__MFGNUM(Order no.) +   ,MFGNUM(Order no.) +   MFGLIN(Line no.) +   __||__ __||__ ,MFGNUM(Order no.) +   MFGLIN(Line no.) +    __||__   MFGFCY(Production site) +   STRDAT(Start date) +    __||__   MFGNUM(Order no.) +   
ELEATRM,E46,Evt - contract termination,Fixed Assets,LEA,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
MTKCRDASW,MTA,Technical sheets - responses,Manufacturing,,Manufacturing,Manufacturing Tracking,"ATABDIV  (Miscellaneous tables  ) , QLYCRD  (Technical sheets  ) , QLYCRDQST  (Quality records - questions  )",,MFGTRKNUM(Tracking number) +   OPETRKLIN(Line) +   QSTNUM(Question) +   ,MFGTRKNUM(Tracking number) +   OPETRKLIN(Line) +   QSTNUM(Question) +   
ELOFCIM,E01,Evt - modify expense account,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
ELOFCNL,E03,Evt - expense deletion,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
MWMCRDASW,MWA,Booth procedures - Responses,Manufacturing,MWM,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  ) , QLYCRD  (Technical sheets  ) , QLYCRDQST  (Quality records - questions  ) , STATION  (Weighing location  )",,MFGNUM(Order no.) +   BOMOPE(Operation number) +   ITMREF(Product) +   IPTDAT(Allocation date) +   MVTSEQ(Sequence) +   QSTNUM(Question) +   ,MFGNUM(Order no.) +   BOMOPE(Operation number) +   ITMREF(Product) +   IPTDAT(Allocation date) +   MVTSEQ(Sequence) +   QSTNUM(Question) +   
ELOFVATREG,E02,Evt - sales tax adjust expense,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EMODELE,E00,Evt - template table,Fixed Assets,,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
PARWIPACC,PWA,Wipcost-interface parameter,Manufacturing,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  )",,LEG(Legislation) +   CPY(Company) +   TXNTYP(Transaction type) +   ,LEG(Legislation) +   CPY(Company) +   TXNTYP(Transaction type) +   
SCALES,SLE,Weighing scales,Manufacturing,MWM,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , AREPORT  (Report dictionary  ) , TABUNIT  (Table of units of measure  ) , CALIGUIDES  (Calibration guides  ) , USERGUIDES  (User guides  ) , MODSCALE  (Weighing scale templates  )",__||__,SLE(Weighing scale) +   FCY(Manufacturing site) +   __||__ FCY(Manufacturing site) +   SLE(Weighing scale) +   ,SLE(Weighing scale) +   FCY(Manufacturing site) +    __||__   FCY(Manufacturing site) +   SLE(Weighing scale) +   
ENVFIY,ENF,Distribute envelope/fiscal year,Financials,GDD,Accounting,Operating Budgets,ENVELOPPE  (Envelope  ),__||__ENV(Envelope) +   ,ENV(Envelope) +   FIYNUM(Fiscal year) +   __||__ ,ENV(Envelope) +   FIYNUM(Fiscal year) +    __||__   ENV(Envelope) +   
EPHYAFFGEO,E82,Evt - Phys. asset geo transfer,Fixed Assets,PHY,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   __||__REF +   EVTDAT +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +    __||__   REF +   EVTDAT +   
EPHYCRT,E81,Evt - Physical asset creation,Fixed Assets,PHY,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
EPHYISS,E83,Evt - Physical asset disposal,Fixed Assets,PHY,,,,__||____||__CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   ,REF +   TIMSTP +   __||__ REF +   TIMSTPO +   TIMSTP +   __||__ ,REF +   TIMSTP +    __||__   REF +   TIMSTPO +   TIMSTP +    __||__   CPTFLG +   DPRPLN +   CPY +   FCY +   REF +   
ESCSRE,ECE,Escalation history,Common Data,,Customer relation,Service request,"ATABDIV  (Miscellaneous tables  ) , SERREQUEST  (Service requests  )",__||__SRENUM(Service request) +   ESCDAT(Date escalated) +   __||__SREASS(Request assignment) +   SREDET(Assignment detail) +   ,ESCCOD(Sequence no.) +   __||__ __||__ ,ESCCOD(Sequence no.) +    __||__   SRENUM(Service request) +   ESCDAT(Date escalated) +    __||__   SREASS(Request assignment) +   SREDET(Assignment detail) +   
EURSRVDCL,ESH,European services declaration,Financials,ESD,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  )",__||__,CPY(Company) +   ENDDAT(End date) +   BPR(BPs) +   EECNUM(EU identification) +   __||__ CPY(Company) +   STRDAT(Start date) +   ENDDAT(End date) +   EECNUM(EU identification) +   BPR(BPs) +   ,CPY(Company) +   ENDDAT(End date) +   BPR(BPs) +   EECNUM(EU identification) +    __||__   CPY(Company) +   STRDAT(Start date) +   ENDDAT(End date) +   EECNUM(EU identification) +   BPR(BPs) +   
EURSRVDCLD,ESD,European services declaration,Financials,ESD,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  )",,CPY(Company) +   ENDDAT(End date) +   BPR(BPs) +   EECNUM(EU identification) +   ACCNUM(Internal number) +   ,CPY(Company) +   ENDDAT(End date) +   BPR(BPs) +   EECNUM(EU identification) +   ACCNUM(Internal number) +   
EVEFAS,EFS,Asset event,Fixed Assets,,,,,, +   , +   
EVEGRT,EGT,Subsidy event,Fixed Assets,GRT,,,,, +   , +   
EVELEA,ELA,Lease contract event,Fixed Assets,LEA,,,,, +   , +   
EVELOF,ELF,Expense event,Fixed Assets,,,,,, +   , +   
EXKWORD,EKW,Existing keywords,Help-Desk,,,,,,KEYWRD +   ,KEYWRD +   
EXPARAM,EXM,Parameters,A/P-A/R accounting,,,,,,AXI(Bracket) +   INDPF(Vehicle category) +   ,AXI(Bracket) +   INDPF(Vehicle category) +   
EXPENSES,EXS,Expense,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , TABEXPENS  (Expenses tables  )",__||____||__CPY(Company) +   CUR(Currency) +   FCY(Site) +   DATEXS(Date) +   __||__,CLB(Employee) +   DATEXS(Date) +   NBREXS(Line no.) +   __||__ ACCNUM(Internal number) +   __||__ __||__ VCRTYP(Entry type) +   VCRNUM(Entry) +   ACCNUM(Internal number) +   ,CLB(Employee) +   DATEXS(Date) +   NBREXS(Line no.) +    __||__   ACCNUM(Internal number) +    __||__   CPY(Company) +   CUR(Currency) +   FCY(Site) +   DATEXS(Date) +    __||__   VCRTYP(Entry type) +   VCRNUM(Entry) +   ACCNUM(Internal number) +   
FACGROUP,FGR,Site grouping,Supervisor,,Common data,Company and Sites,"FACILITY  (Sites  ) , AGRPFCY  (Site groupings  )",__||__,CPY(Company) +   FCY(Site) +   __||__ FCY(Site) +   CPY(Company) +   ,CPY(Company) +   FCY(Site) +    __||__   FCY(Site) +   CPY(Company) +   
FAEPAR,FAE,ACCENTFIL setup,Financials,KFR,,,"COMPANY  (Company  ) , PIVOTS  (Pivots  )",,IDT(Identifier) +   ,IDT(Identifier) +   
FAMPB,PBL,Skill group,Common Data,,Customer relation,Service request,"BPARTNER  (Business partner  ) , FAMPB  (Skill group  )",__||____||__SUT(Shortcut) +   ,NUM(Code) +   __||__ NUM(Code) +   PAEGRPNUM(Parent group code) +   __||__ ,NUM(Code) +    __||__   NUM(Code) +   PAEGRPNUM(Parent group code) +    __||__   SUT(Shortcut) +   
FAMPBQUE,PBQ,Corresponding queues,Help-Desk,,,,,GRPPBLNUM +   __||__QUENUM +   __||__,__||__ __||__ GRPPBLNUM +   QUENUM +   ,GRPPBLNUM +    __||__   QUENUM +    __||__   GRPPBLNUM +   QUENUM +   
FRTCLS,FRT,Freight class,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , FRTCLS  (Freight class  )",__||__,FRTCLS(Freight class) +   LEG(Legislation) +   __||__ LEG(Legislation) +   FRTCLS(Freight class) +   ,FRTCLS(Freight class) +   LEG(Legislation) +    __||__   LEG(Legislation) +   FRTCLS(Freight class) +   
FAMPBREP,PBR,Qualified employees,Help-Desk,,,,,GRPPBLNUM +   __||__REPNUM +   __||__,__||__ __||__ GRPPBLNUM +   REPNUM +   ,GRPPBLNUM +    __||__   REPNUM +    __||__   GRPPBLNUM +   REPNUM +   
FASFAM,FAM,Asset groups,Fixed Assets,,,,,,FAMREF +   ,FAMREF +   
GACCCLS,CLS,Account classes,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , GACCCLS  (Account classes  )",,LEG(Legislation) +   CLSCOD(Code) +   ,LEG(Legislation) +   CLSCOD(Code) +   
FIEDIC,FID,Criteria of target,CRM activities,,,,,,CRITAB +   CAT +   ,CRITAB +   CAT +   
FIEDICFIE,FDF,Target criteria fields,CRM activities,,,,,,CRITAB +   SELCRIFIE +   CAT +   ,CRITAB +   SELCRIFIE +   CAT +   
GACCDUDATE,DUD,Open items,Common Data,,"Accounting,Purchasing,Sales","Accounting Entry,Payment,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Invoice,Normal Sales Orders,Cumulative Sales Orders,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , MANDATE  (Mandates  ) , TABPAM  (Payment mode table  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  )",__||____||____||__FLGCLE(Closed) +   FCY(Site) +   BPRPAY(Pay-by) +   DUDDAT(Due date) +   __||____||____||____||____||____||__,TYP(Entry type) +   NUM(Document no.) +   LIG(Line number) +   DUDLIG(Due date number) +   __||__ ACCNUM(Internal number) +   DUDLIG(Due date number) +   __||__ SOINUM(Statement number) +   ACCNUM(Internal number) +   DUDLIG(Due date number) +   __||__ __||__ BPR(Bill-to/Order BP) +   SOINUM(Statement number) +   ACCNUM(Internal number) +   DUDLIG(Due date number) +   __||__ BPRPAY(Pay-by) +   SOINUM(Statement number) +   ACCNUM(Internal number) +   DUDLIG(Due date number) +   __||__ FLGCLE(Closed) +   ACCNUM(Internal number) +   DUDLIG(Due date number) +   __||__ BPRPAY(Pay-by) +   BPR(Bill-to/Order BP) +   NUMDUD(Unique number) +   __||__ NUMDUD(Unique number) +   __||__ BPR(Bill-to/Order BP) +   BPAPAY(Business partner address) +   NUMDUD(Unique number) +   ,TYP(Entry type) +   NUM(Document no.) +   LIG(Line number) +   DUDLIG(Due date number) +    __||__   ACCNUM(Internal number) +   DUDLIG(Due date number) +    __||__   SOINUM(Statement number) +   ACCNUM(Internal number) +   DUDLIG(Due date number) +    __||__   FLGCLE(Closed) +   FCY(Site) +   BPRPAY(Pay-by) +   DUDDAT(Due date) +    __||__   BPR(Bill-to/Order BP) +   SOINUM(Statement number) +   ACCNUM(Internal number) +   DUDLIG(Due date number) +    __||__   BPRPAY(Pay-by) +   SOINUM(Statement number) +   ACCNUM(Internal number) +   DUDLIG(Due date number) +    __||__   FLGCLE(Closed) +   ACCNUM(Internal number) +   DUDLIG(Due date number) +    __||__   BPRPAY(Pay-by) +   BPR(Bill-to/Order BP) +   NUMDUD(Unique number) +    __||__   NUMDUD(Unique number) +    __||__   BPR(Bill-to/Order BP) +   BPAPAY(Business partner address) +   NUMDUD(Unique number) +   
